Iteration,Train_Accuracy,Valid_Accuracy,Loss
0,0.440167,0.565333,1.07197
100,0.680333,0.69,0.756237
200,0.766583,0.802667,0.65253
300,0.80875,0.838667,0.577155
400,0.83075,0.855333,0.524733
500,0.848833,0.869333,0.48003
600,0.864417,0.876667,0.444221
700,0.872417,0.885333,0.414758
800,0.877167,0.893333,0.39351
900,0.887,0.900667,0.374112
1000,0.890083,0.906667,0.35638
1100,0.897167,0.910667,0.340414
1200,0.901917,0.916,0.32723
1300,0.90425,0.919333,0.315688
1400,0.9045,0.922,0.306022
1500,0.912667,0.924667,0.296236
1600,0.911083,0.93,0.287962
1700,0.91175,0.93,0.281065
1800,0.917417,0.932,0.27333
1900,0.918,0.930667,0.266018
2000,0.919417,0.930667,0.261419
2100,0.921917,0.932667,0.254767
2200,0.921667,0.934667,0.250558
2300,0.927917,0.935333,0.242476
2400,0.92575,0.936667,0.239794
2500,0.927,0.938,0.236767
2600,0.926917,0.938,0.235647
2700,0.93,0.94,0.229323
2800,0.928667,0.941333,0.226469
2900,0.930917,0.942,0.224647
3000,0.9305,0.942667,0.221331
