Iteration,Train_Accuracy,Valid_Accuracy,Loss
0,0.285667,0.292,1.20576
100,0.60025,0.59,0.794051
200,0.725333,0.751333,0.686694
300,0.780417,0.819333,0.611705
400,0.811583,0.847333,0.554951
500,0.832083,0.86,0.509971
600,0.845,0.872,0.47242
700,0.857333,0.876667,0.443375
800,0.86725,0.885333,0.417397
900,0.87975,0.893333,0.395302
1000,0.883083,0.901333,0.377033
1100,0.888833,0.906667,0.359802
1200,0.893083,0.911333,0.346243
1300,0.898333,0.917333,0.332264
1400,0.904417,0.918,0.31845
1500,0.9045,0.922,0.309877
1600,0.908083,0.922667,0.29991
1700,0.90925,0.926667,0.293729
1800,0.914,0.929333,0.285748
1900,0.916083,0.930667,0.279126
2000,0.916833,0.930667,0.273729
2100,0.918417,0.93,0.265501
2200,0.918583,0.930667,0.260863
2300,0.920083,0.934,0.26003
2400,0.9245,0.936667,0.251732
2500,0.923083,0.938,0.247654
2600,0.926583,0.938667,0.241271
2700,0.925583,0.938667,0.238546
2800,0.927333,0.94,0.234831
2900,0.927917,0.94,0.232799
3000,0.9285,0.940667,0.230188
